pair,acronym,description,frequency_all_disciplines
"('PHH', 'porcentaje de hígado herniado')",PHH,porcentaje de hígado herniado,3
"('OPELUCE', 'organización peruana de lucha contra la ceguera')",OPELUCE,organización peruana de lucha contra la ceguera,5
"('ITSD', 'intervencion terapeutica sin delfines')",ITSD,intervencion terapeutica sin delfines,1
"('GIHV', 'grupo interhospitalario valenciano')",GIHV,grupo interhospitalario valenciano,6
"('NCC', 'neurocisticercosis')",NCC,neurocisticercosis,4
"('CAPS', 'centro de atención primaria de salud')",CAPS,centro de atención primaria de salud,4
"('CDI', 'cuestionario de depresión infantil')",CDI,cuestionario de depresión infantil,3
"('PC/E', 'perímetro cefálico/estatura')",PC/E,perímetro cefálico/estatura,2
"('AVPP', 'años de vida perdidos por muerte prematura')",AVPP,años de vida perdidos por muerte prematura,3
"('VGS-GP', 'valoración global subjetiva generada por el paciente')",VGS-GP,valoración global subjetiva generada por el paciente,4
"('AOMI', 'arteriopatía obliterante de miembros inferiores')",AOMI,arteriopatía obliterante de miembros inferiores,4
"('DE', 'disruptores endocrinos')",DE,disruptores endocrinos,8
"('Rn', 'recién nacidos')",Rn,recién nacidos,2
"('FES', 'facultad de estudios superiores')",FES,facultad de estudios superiores,4
"('CARTO', 'cartografía electroanatómica')",CARTO,cartografía electroanatómica,3
"('TARGA', 'terapia antirretroviral de gran actividad')",TARGA,terapia antirretroviral de gran actividad,4
"('ORN', 'osteoradionecrosis')",ORN,osteoradionecrosis,4
"('FLIPC', 'factores lipídicos inhibidores de la proliferación celular')",FLIPC,factores lipídicos inhibidores de la proliferación celular,2
"('ACAOS', 'arteria coronaria izquierda del seno opuesto')",ACAOS,arteria coronaria izquierda del seno opuesto,2
"('E C', 'enfermedad celiaca')",E C,enfermedad celiaca,6
"('HPRL', 'hiperprolactinemia')",HPRL,hiperprolactinemia,4
"('TG', 'triacilglicerol')",TG,triacilglicerol,2
"('HOMI', 'hospital de la misericordia')",HOMI,hospital de la misericordia,1
"('INEN', 'instituto nacional de enfermedades neoplásicas')",INEN,instituto nacional de enfermedades neoplásicas,10
"('ReMeFA', 'registro mexicano de fibrilación auricular')",ReMeFA,registro mexicano de fibrilación auricular,2
"('VIH', 'virus de la inmunodeficiencia humana')",VIH,virus de la inmunodeficiencia humana,161
"('PDSQ', 'psychiatric diagnostic screening questionnaire')",PDSQ,psychiatric diagnostic screening questionnaire,2
"('RVM', 'retiro de la ventilación mecánica')",RVM,retiro de la ventilación mecánica,2
"('RM', 'razones de momios')",RM,razones de momios,13
"('Hp', 'helicobacter pylori')",Hp,helicobacter pylori,11
"('DBG', 'dietas bajas en grasas')",DBG,dietas bajas en grasas,1
"('SENACREDH', 'segundo estudio nacional de crecimiento y desarrollo humano')",SENACREDH,segundo estudio nacional de crecimiento y desarrollo humano,1
"('ESL', 'eslicarbacepina')",ESL,eslicarbacepina,2
"('EVA', 'escala visual analgésica')",EVA,escala visual analgésica,2
"('y III', 'y vesículas seminales-glándulas coagulantes de roedores orquiectomizados')",y III,y vesículas seminales-glándulas coagulantes de roedores orquiectomizados,2
"('MXT', 'mitoxantrone')",MXT,mitoxantrone,4
"('CU', 'colitis ulcerativa')",CU,colitis ulcerativa,2
"('CH', 'colágeno hidrolizado')",CH,colágeno hidrolizado,1
"('TC', 'tiempo de corrección')",TC,tiempo de corrección,1
"('TH', 'trasplante hepático')",TH,trasplante hepático,2
"('ditizona', 'difeniltiocarbazona')",ditizona,difeniltiocarbazona,1
"('LCP', 'leucemia de células peludas')",LCP,leucemia de células peludas,2
"('AP', 'anatomopatológico')",AP,anatomopatológico,2
"('GECSEN', 'grupo de estudio de cefaleas de la sociedad española de neurología')",GECSEN,grupo de estudio de cefaleas de la sociedad española de neurología,1
"('UPV', 'usuarios profesionales de la voz')",UPV,usuarios profesionales de la voz,4
"('FAT', 'fosfatasa alcalina total')",FAT,fosfatasa alcalina total,5
"('PRES', 'posterior reversible')",PRES,posterior reversible,5
"('FDF', 'fractura de diáfisis femoral')",FDF,fractura de diáfisis femoral,4
"('IMCEST', 'infarto del miocardio con elevación del segmento st')",IMCEST,infarto del miocardio con elevación del segmento st,4
"('RNM', 'resultados negativos asociados con la medicación')",RNM,resultados negativos asociados con la medicación,2
"('AQ20', 'airway questionnaire 20')",AQ20,airway questionnaire 20,2
"('SOCHIPE', 'sociedad chilena de pediatría')",SOCHIPE,sociedad chilena de pediatría,5
"('MCF', 'metacarpofalángico')",MCF,metacarpofalángico,1
"('CES', 'colangitis esclerosante secundaria')",CES,colangitis esclerosante secundaria,1
"('RNTI', 'registro nacional de tumores infantiles')",RNTI,registro nacional de tumores infantiles,6
"('VHA', 'virus de la hepatitis a')",VHA,virus de la hepatitis a,4
"('PS', 'productos sanitarios')",PS,productos sanitarios,1
"('CVF', 'capacidad vital forzada')",CVF,capacidad vital forzada,9
"('CD44s', 'cd44 estándar')",CD44s,cd44 estándar,2
"('ITU', 'infecciones del tracto urinario')",ITU,infecciones del tracto urinario,2
"('CCRm', 'cáncer colorrectal metastásico')",CCRm,cáncer colorrectal metastásico,4
"('NMDA', 'n-metil-d-aspartato')",NMDA,n-metil-d-aspartato,4
"('PG', 'porcentaje de grasa corporal')",PG,porcentaje de grasa corporal,4
"('r.i.a.', 'radioinmunoanálisis')",r.i.a.,radioinmunoanálisis,3
"('ECE', 'establecimientos de consumo escolar')",ECE,establecimientos de consumo escolar,3
"('UPDRS', 'unificada para la evaluación de la enfermedad de parkinson')",UPDRS,unificada para la evaluación de la enfermedad de parkinson,5
"('AMEU', 'aspiración manual endouterina con jeringa de karmann')",AMEU,aspiración manual endouterina con jeringa de karmann,6
"('SSPA', 'sistema sanitario público de andalucía')",SSPA,sistema sanitario público de andalucía,10
"('ACGs', 'ambulatory care groups""')",ACGs,"ambulatory care groups""",2
"('I.R.C.', 'insuficiencia renal crónica')",I.R.C.,insuficiencia renal crónica,4
"('NEC', 'neumonía eosinófila crónica')",NEC,neumonía eosinófila crónica,2
"('TAO', 'tratamiento anticoagulante oral')",TAO,tratamiento anticoagulante oral,4
"('SAHS', 'síndrome de apneas-hipoapneas del sueño, en lo adelante')",SAHS,"síndrome de apneas-hipoapneas del sueño, en lo adelante",3
"('parte I', 'parkinson avanzada. características clínicas y tratamiento')",parte I,parkinson avanzada. características clínicas y tratamiento,3
"('ATINA-EPOC', 'atención integral de las agudizaciones de la enfermedad pulmonar obstructiva crónica')",ATINA-EPOC,atención integral de las agudizaciones de la enfermedad pulmonar obstructiva crónica,8
"('OR', 'odds ratios')",OR,odds ratios,4
"('UMRF', 'unidades moviles de rehabilitacion-fisioterapia')",UMRF,unidades moviles de rehabilitacion-fisioterapia,6
"('PAEAFT', 'punción aspiración ecoguiada con aguja fina de tiroides')",PAEAFT,punción aspiración ecoguiada con aguja fina de tiroides,4
"('CTOG', 'curva de tolerancia a la glucosa')",CTOG,curva de tolerancia a la glucosa,3
"('SiFO', 'silicona-fluorsilicona')",SiFO,silicona-fluorsilicona,3
"('ETE', 'ecocardiograma transesofágico')",ETE,ecocardiograma transesofágico,3
"('CMNS', 'células mononucleares sanguíneas')",CMNS,células mononucleares sanguíneas,1
"('GEHBTA', 'grupo de estudio de hemoglobinopatías y talasemias')",GEHBTA,grupo de estudio de hemoglobinopatías y talasemias,4
"('AVG', 'año de vida ganado')",AVG,año de vida ganado,4
"('UPE', 'unidad de porro estándar')",UPE,unidad de porro estándar,2
"('STID', 'sospechosos de padecer trastornos inaparentes del desarrollo')",STID,sospechosos de padecer trastornos inaparentes del desarrollo,4
"('UTIP', 'unidad de cuidados intensivos pediátricos')",UTIP,unidad de cuidados intensivos pediátricos,1
"('EVA', 'escala visual análoga')",EVA,escala visual análoga,5
"('ACP', 'análisis de componentes principales')",ACP,análisis de componentes principales,6
"('RAM', 'reacciones adversas a medicamentos')",RAM,reacciones adversas a medicamentos,5
"('SAVC', 'sistemas de acceso venoso central')",SAVC,sistemas de acceso venoso central,3
"('IB', 'intervención breve')",IB,intervención breve,4
"('RE', 'receptor de estrógenos')",RE,receptor de estrógenos,3
"('GAFI', 'granuloma aséptico facial idiopático')",GAFI,granuloma aséptico facial idiopático,1
"('CF', 'cadena de frío')",CF,cadena de frío,1
"('VIH 2', 'virus de la inmunodeficiencia humana tipo 2')",VIH 2,virus de la inmunodeficiencia humana tipo 2,1
"('MG', 'miastenia gravis')",MG,miastenia gravis,4
"('Decapoda', 'distribución espacial de ocypode quadrata')",Decapoda,distribución espacial de ocypode quadrata,1
"('SIB', 'severe impairment battery')",SIB,severe impairment battery,4
"('IAM', 'infarto agudo de miocardio')",IAM,infarto agudo de miocardio,1
"('HB', 'harris-benedict')",HB,harris-benedict,2
"('ECV', 'enfermedades cardiovasculares')",ECV,enfermedades cardiovasculares,11
"('UPI', 'uso problemático de internet')",UPI,uso problemático de internet,1
"('ETAP', 'escala de tabaquismo para atención primaria')",ETAP,escala de tabaquismo para atención primaria,1
"('CENATMER', 'centro nacional de trasplantes y medicina regenerativa')",CENATMER,centro nacional de trasplantes y medicina regenerativa,2
"('AF', 'anemia ferropénica')",AF,anemia ferropénica,6
"('SEIP', 'sociedad española de infectología pediátrica')",SEIP,sociedad española de infectología pediátrica,8
"('TCI-R', 'temperamento y carácter de cloninger')",TCI-R,temperamento y carácter de cloninger,4
"('AS', 'admisión secundaria')",AS,admisión secundaria,4
"('CUCI', 'colitis ulcerativa crónica inespecífica')",CUCI,colitis ulcerativa crónica inespecífica,8
"('TAR', 'trombocitopenia con aplasia de radio')",TAR,trombocitopenia con aplasia de radio,4
"('MF', 'medicina familiar')",MF,medicina familiar,1
"('T.T.L.E.', 'test de tolerancia a la lactosa etanol')",T.T.L.E.,test de tolerancia a la lactosa etanol,2
"('NPD', 'nutrición parenteral en domicilio')",NPD,nutrición parenteral en domicilio,2
"('RIUPS', 'red iberoamericana de universidades promotoras de la salud')",RIUPS,red iberoamericana de universidades promotoras de la salud,3
"('SARM', 's. aureus resistente a la meticilina')",SARM,s. aureus resistente a la meticilina,2
"('NNH', 'número necesario para hacer daño')",NNH,número necesario para hacer daño,3
"('L.', 'la planta spirodela polirhyza')",L.,la planta spirodela polirhyza,1
"('Remicade', 'recomendaciones geteccu-2005 para el uso de infliximab')",Remicade,recomendaciones geteccu-2005 para el uso de infliximab,1
"('DER', 'desequilibrio esfuerzo-recompensa')",DER,desequilibrio esfuerzo-recompensa,2
"('BDI', 'beck depression inventory')",BDI,beck depression inventory,1
"('APSO', 'autopercepción de la salud oral')",APSO,autopercepción de la salud oral,3
"('PAAF', 'punción aspirativa con aguja fina')",PAAF,punción aspirativa con aguja fina,6
"('UCEU', 'uce, 25 (62,5%) dependientes del servicio de urgencias')",UCEU,"uce, 25 (62,5%) dependientes del servicio de urgencias",1
"('PTH', 'paratohormona')",PTH,paratohormona,2
"('ESPII', 'emergencia de salud pública de importancia internacional')",ESPII,emergencia de salud pública de importancia internacional,5
"('CI', 'consentimiento informado')",CI,consentimiento informado,1
"('EODD', 'en días alternos sin descanso de 72 horas')",EODD,en días alternos sin descanso de 72 horas,4
"('NAC', 'neuropatía autonómica cardíaca')",NAC,neuropatía autonómica cardíaca,5
"('PRP-T', 'poliribofosfato capsular de hib conjugada al toxoide tetánico')",PRP-T,poliribofosfato capsular de hib conjugada al toxoide tetánico,2
"('HIT-6', 'headache impact test-6')",HIT-6,headache impact test-6,2
"('DMNID', 'diabetes mellitus no insulino dependiente')",DMNID,diabetes mellitus no insulino dependiente,5
"('EL', 'esplenectomía laparoscópica')",EL,esplenectomía laparoscópica,2
"('FEFCO2', 'fracción espiratoria final de co2')",FEFCO2,fracción espiratoria final de co2,2
"('SA', 'síndrome de alagille')",SA,síndrome de alagille,3
"('IAH', 'indice apnea/hipopnea')",IAH,indice apnea/hipopnea,2
"('DNU', 'dispepsia no ulcerosa')",DNU,dispepsia no ulcerosa,6
"('TCI-R', 'temperamento y el carácter-revisado')",TCI-R,temperamento y el carácter-revisado,2
"('FRC', 'factores de riesgo cardiometabólico')",FRC,factores de riesgo cardiometabólico,6
"('IDR', 'ingesta diaria recomendada')",IDR,ingesta diaria recomendada,2
"('GESIDA', 'grupo de estudio del sida')",GESIDA,grupo de estudio del sida,11
"('RNP', 'recién nacidos prematuros')",RNP,recién nacidos prematuros,1
"('CPRE', 'colangiopancreatografía retrógrada endoscópica')",CPRE,colangiopancreatografía retrógrada endoscópica,14
"('SEMTSI', 'sociedad española de medicina tropical y salud internacional')",SEMTSI,sociedad española de medicina tropical y salud internacional,10
"('RNT', 'recién nacidos a término')",RNT,recién nacidos a término,2
"('AEBI', 'asociación nacional de bioética y ética médica')",AEBI,asociación nacional de bioética y ética médica,4
"('E. M.', 'esclerosis múltiple')",E. M.,esclerosis múltiple,4
"('SLP', 'supervivencia libre de progresión')",SLP,supervivencia libre de progresión,4
"('ENI', 'enfermedad neumocócica invasiva')",ENI,enfermedad neumocócica invasiva,6
"('CyL', 'castilla y león')",CyL,castilla y león,2
"('Hib', 'h influenzae tipo b')",Hib,h influenzae tipo b,4
"('IR', 'insuficiencia respiratoria')",IR,insuficiencia respiratoria,4
"('DON', 'deoxinivalenol')",DON,deoxinivalenol,2
"('CPT', 'continuous performance test')",CPT,continuous performance test,1
"('TCC', 'terapia cognitivo conductual')",TCC,terapia cognitivo conductual,3
"('TET', 'tubo endotraqueal')",TET,tubo endotraqueal,2
"('SAT', 'síndrome del aceite tóxico')",SAT,síndrome del aceite tóxico,2
"('TT', 'testicular')",TT,testicular,4
"('CMTES', 'ciclo medio de técnico emergencias sanitarias')",CMTES,ciclo medio de técnico emergencias sanitarias,1
"('HLP', 'hospital la pedrera')",HLP,hospital la pedrera,2
"('ERGE', 'enfermedad por reflujo gastroesofágico')",ERGE,enfermedad por reflujo gastroesofágico,8
"('GlicA', 'glicemias capilares de ayuno')",GlicA,glicemias capilares de ayuno,2
"('AR', 'anión restante')",AR,anión restante,1
"('España', 'emplazamiento del mismo fue la atención primaria de cataluña')",España,emplazamiento del mismo fue la atención primaria de cataluña,4
"('RHR', 'respuesta immune de hipersensibilidad retardada')",RHR,respuesta immune de hipersensibilidad retardada,3
"('PRONAP', 'programa nacional de actualización pediátrica')",PRONAP,programa nacional de actualización pediátrica,1
"('QTneo', 'quimioterapia neoadyuvante')",QTneo,quimioterapia neoadyuvante,2
"('PPI', 'prescripciones potencialmente inadecuadas')",PPI,prescripciones potencialmente inadecuadas,2
"('QP', 'queratoplastía penetrante')",QP,queratoplastía penetrante,4
"('FCT', 'figura compleja de taylor')",FCT,figura compleja de taylor,2
"('BIA', 'bioimpedancia')",BIA,bioimpedancia,3
"('LEOC', 'litotricia extracorporea por ondas de choque')",LEOC,litotricia extracorporea por ondas de choque,1
"('MAE', 'malnutrición asociada a la enfermedad')",MAE,malnutrición asociada a la enfermedad,3
"('ENAHO', 'encuesta nacional de hogares sobre condiciones de vida y pobreza')",ENAHO,encuesta nacional de hogares sobre condiciones de vida y pobreza,3
"('SA', 'sitios abásicos')",SA,sitios abásicos,1
"('CF', 'compuestos fenólicos')",CF,compuestos fenólicos,1
"('ACZ', 'acexamato de zinc')",ACZ,acexamato de zinc,1
"('IVPH', 'infección por virus de papiloma humano')",IVPH,infección por virus de papiloma humano,2
"('DDc', 'dímero-d corregido por edad')",DDc,dímero-d corregido por edad,3
"('SAdE', 'sociedad andaluza de epilepsia')",SAdE,sociedad andaluza de epilepsia,4
"('SCB', 'sindrome de charles bonnet')",SCB,sindrome de charles bonnet,8
"('TG', 'triglicéridos')",TG,triglicéridos,17
"('DPC', 'dolor pélvico crónico')",DPC,dolor pélvico crónico,3
"('RCP', 'reanimación cardiopulmonar')",RCP,reanimación cardiopulmonar,6
"('TBC', 'tuberculosis de la columna')",TBC,tuberculosis de la columna,3
"('PET-TC', 'positrones-tomografía computarizada')",PET-TC,positrones-tomografía computarizada,7
"('RTU', 'resección transuretral de próstata')",RTU,resección transuretral de próstata,3
"('y II', 'y control de la infección nosocomial')",y II,y control de la infección nosocomial,2
"('EHS', 'encefalitis por herpes simple')",EHS,encefalitis por herpes simple,4
"('IC95%', 'intervalos de confianza al 95%')",IC95%,intervalos de confianza al 95%,6
"('SIDA', 'síndrome de inmuno-deficiencia adquirida')",SIDA,síndrome de inmuno-deficiencia adquirida,2
