pair,acronym,description
"('DT2', 'diabetes mellitus tipo 2')",DT2,diabetes mellitus tipo 2
"('TGO', 'transaminasa glutamico oxalacetica')",TGO,transaminasa glutamico oxalacetica
"('RP', 'razones de prevalencia crudas')",RP,razones de prevalencia crudas
"('C.G.T.', 'cáncer gástrico temprano')",C.G.T.,cáncer gástrico temprano
"('P.T.C.', 'púrpura trombocitopénica crónica')",P.T.C.,púrpura trombocitopénica crónica
"('ARA-II', 'antagonistas de los receptores de la angiotensina ii')",ARA-II,antagonistas de los receptores de la angiotensina ii
"('TEA', 'trastornos del espectro autista')",TEA,trastornos del espectro autista
"('VCT', 'valor calórico total')",VCT,valor calórico total
"('MIQ', 'movement imagery questionnaire')",MIQ,movement imagery questionnaire
"('DVE', 'drenaje ventricular externo')",DVE,drenaje ventricular externo
"('ARM', 'aceite de rosa mosqueta')",ARM,aceite de rosa mosqueta
"('ENO', 'estimulacion de nervios occipitales')",ENO,estimulacion de nervios occipitales
"('EULA', 'evaluacion de la apraxia de los miembros superiores')",EULA,evaluacion de la apraxia de los miembros superiores
"('PEF', 'pedagogía en educación física')",PEF,pedagogía en educación física
"('SENSAR', 'seguridad en anestesia y reanimación')",SENSAR,seguridad en anestesia y reanimación
"('IADS', 'internacional de sonidos afectivos')",IADS,internacional de sonidos afectivos
"('GEM', 'grup d’emergències mèdiques')",GEM,grup d’emergències mèdiques
"('LAT', 'lesiones por accidentes de trabajo')",LAT,lesiones por accidentes de trabajo
"('FI', 'fracaso intestinal')",FI,fracaso intestinal
"('EMEA', 'europea del medicamento')",EMEA,europea del medicamento
"('CPTD', 'colangio-pancreatografía transduodenoscópica')",CPTD,colangio-pancreatografía transduodenoscópica
"('CVL', 'con la video-laparoscopia')",CVL,con la video-laparoscopia
"('AL', 'ascaris lumbricoides')",AL,ascaris lumbricoides
"('SCS', 'síndrome de churg-strauss')",SCS,síndrome de churg-strauss
"('SFH', 'servicios de farmacia hospitalaria')",SFH,servicios de farmacia hospitalaria
"('RCEI', 'relación costeeficacia incremental')",RCEI,relación costeeficacia incremental
"('GCP', 'glaucoma congénito primario')",GCP,glaucoma congénito primario
"('EFBA', 'epilepsia focal benigna atipica')",EFBA,epilepsia focal benigna atipica
"('ASCA', 'anti-saccharomyces cerevisiae')",ASCA,anti-saccharomyces cerevisiae
"('III', 'interacción insulina-receptor')",III,interacción insulina-receptor
"('ICSI', 'intracitoplásmica de espermatozoides')",ICSI,intracitoplásmica de espermatozoides
"('GEIS', 'gastrointestinales')",GEIS,gastrointestinales
"('BP', 'bordetella pertussis')",BP,bordetella pertussis
"('SIR', 'susceptible-infectado-recuperado')",SIR,susceptible-infectado-recuperado
"('STIR', 'short-tau inversion-recovery')",STIR,short-tau inversion-recovery
"('CIF', 'clasificación internacional del funcionamiento')",CIF,clasificación internacional del funcionamiento
"('ACE', 'acetilcolinesterasa')",ACE,acetilcolinesterasa
"('AEBI', 'asociación española de bioética y ética médica')",AEBI,asociación española de bioética y ética médica
"('PROA', 'programas de optimización del uso de antimicrobianos')",PROA,programas de optimización del uso de antimicrobianos
"('CMBD', 'conjunto mínimo básico de datos')",CMBD,conjunto mínimo básico de datos
"('MMPI-2', 'minnesota multiphasic personality inventory-2')",MMPI-2,minnesota multiphasic personality inventory-2
"('EPO', 'eritropoyetina')",EPO,eritropoyetina
"('DDA', 'de atención e hiperactividad')",DDA,de atención e hiperactividad
"('AMPA', 'automedida de la presión arterial')",AMPA,automedida de la presión arterial
"('SIVELCE', 'sistema de vigilancia epidemiológica de lesiones de causa externa')",SIVELCE,sistema de vigilancia epidemiológica de lesiones de causa externa
"('SCA', 'síndromes coronarios agudos')",SCA,síndromes coronarios agudos
"('GIST', 'gastrointestinales')",GIST,gastrointestinales
"('AOF', 'antígenos oncofetales')",AOF,antígenos oncofetales
"('GIST', 'gastrointestinales estromales')",GIST,gastrointestinales estromales
"('UNCyD-SEyN', 'unidad de nutrición clínica y dietética de la sección de endocrinología y nutrición')",UNCyD-SEyN,unidad de nutrición clínica y dietética de la sección de endocrinología y nutrición
"('I.A.A.S.', 'infección asociada a asistencia sanitaria')",I.A.A.S.,infección asociada a asistencia sanitaria
"('E. coli', 'escherichia coli')",E. coli,escherichia coli
"('PIDA', 'poliradiculoneuritis inflamatoria desmielinizante aguda')",PIDA,poliradiculoneuritis inflamatoria desmielinizante aguda
"('DCP', 'desnutrición calórico-proteica')",DCP,desnutrición calórico-proteica
"('TEA', 'trastorno del espectro del autismo')",TEA,trastorno del espectro del autismo
"('y III', 'y vesículas seminales-glándulas coagulantes de roedores orquiectomizados')",y III,y vesículas seminales-glándulas coagulantes de roedores orquiectomizados
"('ACP', 'análisis de componentes principales')",ACP,análisis de componentes principales
"('IC95%', 'intervalos de confianza del 95%')",IC95%,intervalos de confianza del 95%
"('FAME', 'farmacos modificadores de la enfermedad')",FAME,farmacos modificadores de la enfermedad
"('RAC', 'rgicas cruzadas')",RAC,rgicas cruzadas
"('CE', 'cuerpo extraño')",CE,cuerpo extraño
"('MSC', 'ministerio de sanidad y consumo')",MSC,ministerio de sanidad y consumo
"('BNB', 'bateria neuropsicologica breve')",BNB,bateria neuropsicologica breve
"('ETS', 'enfermedades de transmisión sexual')",ETS,enfermedades de transmisión sexual
"('APA', 'americana de psiquiatría')",APA,americana de psiquiatría
"('ML', 'modelo de regresión logístico')",ML,modelo de regresión logístico
"('UCEM', 'unidad de corta estancia médica')",UCEM,unidad de corta estancia médica
"('pertofrana', 'parkinsonianos con dos derivados del iminodibencilo: imipramina (tofranil) y desipramina')",pertofrana,parkinsonianos con dos derivados del iminodibencilo: imipramina (tofranil) y desipramina
"('NCV', 'nódulos de cuerdas vocales')",NCV,nódulos de cuerdas vocales
"('GVML', 'gastrectomía vertical en manga laparoscópica')",GVML,gastrectomía vertical en manga laparoscópica
"('HGCH', 'hormona gonadotropina coriónica humana')",HGCH,hormona gonadotropina coriónica humana
"('IE', 'instituciones educativas')",IE,instituciones educativas
"('SRHI', 'self-report habit index')",SRHI,self-report habit index
"('SQLS', 'schizophrenia quality of life scale')",SQLS,schizophrenia quality of life scale
"('CHCC', 'chapel hill consensus conference')",CHCC,chapel hill consensus conference
"('AMFR', 'agregación de múltiples factores de riesgo')",AMFR,agregación de múltiples factores de riesgo
"('D.A.T.C.', 'diisoamiloxitiocarbanilida')",D.A.T.C.,diisoamiloxitiocarbanilida
"('CD44s', 'cd44 estándar')",CD44s,cd44 estándar
"('NAA', 'n-acetil-l-aspartato')",NAA,n-acetil-l-aspartato
"('OR', 'odds ratios ajustadas')",OR,odds ratios ajustadas
"('OnabotA', 'onabotulinumtoxina')",OnabotA,onabotulinumtoxina
"('N.D.G.A.', 'nor-dihidroguayaretico')",N.D.G.A.,nor-dihidroguayaretico
"('DT2', 'diabetes tipo 2')",DT2,diabetes tipo 2
"('DP', 'dieta proteica')",DP,dieta proteica
"('PANDA', 'programa nacional de drogas antineoplásicas del adulto')",PANDA,programa nacional de drogas antineoplásicas del adulto
"('CAV-AEP', 'calendario de vacunaciones de la asociación española de pediatría')",CAV-AEP,calendario de vacunaciones de la asociación española de pediatría
"('RICVAL', 'registro de infartos agudos de miocardio de la ciudad de valencia')",RICVAL,registro de infartos agudos de miocardio de la ciudad de valencia
"('MAR', 'malformaciones anorrectales')",MAR,malformaciones anorrectales
"('PBI', 'producto bruto interno')",PBI,producto bruto interno
"('I-PSS', 'internacional de síntomas prostáticos')",I-PSS,internacional de síntomas prostáticos
"('LANL', 'leucemia aguda no linfoblástica')",LANL,leucemia aguda no linfoblástica
"('PpR', 'presupuesto por resultados')",PpR,presupuesto por resultados
"('SPI', 'sindrome de piernas inquietas')",SPI,sindrome de piernas inquietas
"('CD', 'cierre diferido')",CD,cierre diferido
"('NO', 'neuritis optica')",NO,neuritis optica
"('AHAI', 'anemia hemolítica autoinmunitaria')",AHAI,anemia hemolítica autoinmunitaria
"('TAN', 'tasa de apendicectomía negativa')",TAN,tasa de apendicectomía negativa
"('LTSV', 'limitación del tratamiento de soporte vital')",LTSV,limitación del tratamiento de soporte vital
"('OA', 'osteoartritis')",OA,osteoartritis
"('LV', 'litiasis vesicular persistente')",LV,litiasis vesicular persistente
"('TR', 'trasplante renal')",TR,trasplante renal
"('DFT', 'defibrótido')",DFT,defibrótido
"('HE', 'hipertensión enmascarada')",HE,hipertensión enmascarada
"('RACHS', 'risk adjustment for congenital heart surgery')",RACHS,risk adjustment for congenital heart surgery
"('ADA', 'american diabetes association')",ADA,american diabetes association
"('RNPT', 'recién nacidos prematuros')",RNPT,recién nacidos prematuros
"('España', 'españolas, 29 de mayo a l de junio de 1983, oviedo')",España,"españolas, 29 de mayo a l de junio de 1983, oviedo"
"('INQoL', 'individualized neuromuscular quality of life')",INQoL,individualized neuromuscular quality of life
"('TURis', 'transuretral de la próstata en solución salina')",TURis,transuretral de la próstata en solución salina
"('PRC', 'programa de rehabilitación cardiaca')",PRC,programa de rehabilitación cardiaca
"('TFGe', 'tasa de filtración glomerular estimada')",TFGe,tasa de filtración glomerular estimada
"('FRA', 'fracaso renal agudo')",FRA,fracaso renal agudo
"('PAIA', 'programa de atención al ictus en aragón')",PAIA,programa de atención al ictus en aragón
"('TCE', 'traumatismo craneoencefalico')",TCE,traumatismo craneoencefalico
"('SIC', 'síndrome de intestino corto')",SIC,síndrome de intestino corto
"('IC95', 'intervalos de confianza al 95%')",IC95,intervalos de confianza al 95%
"('E.M.I.H.', 'encefalopatía mioclónica infantil hipsarrítmica')",E.M.I.H.,encefalopatía mioclónica infantil hipsarrítmica
"('SSPA 7', 'servicio de salud pública del área 7')",SSPA 7,servicio de salud pública del área 7
"('DO', 'dependencia a opiáceos')",DO,dependencia a opiáceos
"('RVUPS', 'red valenciana de universidades públicas saludables')",RVUPS,red valenciana de universidades públicas saludables
"('SEPN1', 'selenoproteina 1')",SEPN1,selenoproteina 1
"('IMSI', 'intracitoplásmica de espermatozoides morfológicamente seleccionados')",IMSI,intracitoplásmica de espermatozoides morfológicamente seleccionados
"('Remicade', 'recomendaciones geteccu-2005 para el uso de infliximab')",Remicade,recomendaciones geteccu-2005 para el uso de infliximab
"('RVDD', 'respuesta ventilatoria disfuncional al destete')",RVDD,respuesta ventilatoria disfuncional al destete
"('SW', 'síndrome de wolfram')",SW,síndrome de wolfram
"('IRT', 'insuficiencia renal terminal,')",IRT,"insuficiencia renal terminal,"
"('CVC', 'catéter venoso central')",CVC,catéter venoso central
"('BS', 'bicarbonato sódico')",BS,bicarbonato sódico
"('IAH', 'indice apnea/hipopnea')",IAH,indice apnea/hipopnea
"('CORA', 'centro de rotación de la deformidad')",CORA,centro de rotación de la deformidad
"('CaMa', 'cáncer de mama')",CaMa,cáncer de mama
"('RR', 'recovery')",RR,recovery
"('A.R.', 'artritis reumatoidea')",A.R.,artritis reumatoidea
"('Grupo ED', 'grupos: con endoscopía-dilatación')",Grupo ED,grupos: con endoscopía-dilatación
"('EEI', 'enfermedades inflamatoria intestinal')",EEI,enfermedades inflamatoria intestinal
"('PCCM', 'programas de cribado de cáncer de mama')",PCCM,programas de cribado de cáncer de mama
"('VDA', 'volumen de dieta administrada')",VDA,volumen de dieta administrada
"('CSA', 'ciclosporina a')",CSA,ciclosporina a
"('GESEPOC', 'guía española de la epoc')",GESEPOC,guía española de la epoc
"('CCI', 'consultivo de inmunizaciones')",CCI,consultivo de inmunizaciones
"('SP', 'sobrepeso')",SP,sobrepeso
"('E.E.P.', 'estenosante postoperatoria')",E.E.P.,estenosante postoperatoria
"('VPH', 'virus del papiloma humano')",VPH,virus del papiloma humano
"('QP', 'queratoplastía penetrante')",QP,queratoplastía penetrante
"('MEN 2', 'múltiple tipo 2')",MEN 2,múltiple tipo 2
"('CEFYDEM', 'centro de formación y desarrollo metodológico para el área de la salud')",CEFYDEM,centro de formación y desarrollo metodológico para el área de la salud
"('NEC', 'neumonía eosinófila crónica')",NEC,neumonía eosinófila crónica
"('ILAE', 'internacional contra la epilepsia')",ILAE,internacional contra la epilepsia
"('SOP', 'síndrome de ovario poliquístico')",SOP,síndrome de ovario poliquístico
"('MNIO', 'monitoreo neurofisiológico intraoperatorio')",MNIO,monitoreo neurofisiológico intraoperatorio
"('SL', 'sucedáneo de la leche')",SL,sucedáneo de la leche
"('NECT', 'narrativo y terapia cognitiva')",NECT,narrativo y terapia cognitiva
"('FR', 'factores de riesgo')",FR,factores de riesgo
"('IIEC', 'infantil de estresores cotidianos')",IIEC,infantil de estresores cotidianos
"('CC', 'consultas monograficas de cefalea')",CC,consultas monograficas de cefalea
"('YY-1', 'yang-1')",YY-1,yang-1
"('ENSM', 'encuesta nacional de salud mental')",ENSM,encuesta nacional de salud mental
"('PMR', 'patógenos multirresistentes')",PMR,patógenos multirresistentes
"('H.P.', 'hipertensión portal')",H.P.,hipertensión portal
"('SHO', 'síndrome de hipoventilación del obeso')",SHO,síndrome de hipoventilación del obeso
"('SENACREDH', 'segundo estudio nacional de crecimiento y desarrollo humano')",SENACREDH,segundo estudio nacional de crecimiento y desarrollo humano
"('DE', 'de 75')",DE,de 75
"('SSHDC', 'susceptibilidad hereditaria humana para desarrollar cáncer')",SSHDC,susceptibilidad hereditaria humana para desarrollar cáncer
"('C.R.D.', 'cuerpos reductores disimulados')",C.R.D.,cuerpos reductores disimulados
"('mipth', 'monitoreo intraoperatorio de paratohormona')",mipth,monitoreo intraoperatorio de paratohormona
"('NMP', 'neoplasias mieloproliferativas')",NMP,neoplasias mieloproliferativas
"('CIA', 'comunicación interauricular')",CIA,comunicación interauricular
"('GesEPOC', 'guía española de la enfermedad pulmonar obstructiva crónica')",GesEPOC,guía española de la enfermedad pulmonar obstructiva crónica
"('LD', 'líquido de diálisis')",LD,líquido de diálisis
"('PLT', 'pliegue tricipital')",PLT,pliegue tricipital
"('HUVN', 'hospital universitario virgen de las nieves')",HUVN,hospital universitario virgen de las nieves
"('PAAF', 'punción-aspiración con aguja fina')",PAAF,punción-aspiración con aguja fina
"('Mp', 'mycoplasma pneumoniae')",Mp,mycoplasma pneumoniae
"('MAPA', 'monitorización ambulatoria de la presión arterial')",MAPA,monitorización ambulatoria de la presión arterial
"('ECV', 'enfermedad cardiovascular')",ECV,enfermedad cardiovascular
"('NPDE', 'normalized predictive distribution error')",NPDE,normalized predictive distribution error
"('PAIS', 'proyecto de acción interdisciplinaria en salud')",PAIS,proyecto de acción interdisciplinaria en salud
"('ROP', 'retinopatía del prematuro')",ROP,retinopatía del prematuro
"('OC', 'osteocalcina')",OC,osteocalcina
"('ADC', 'asociación para el desarrollo comunitario')",ADC,asociación para el desarrollo comunitario
"('FRX', 'fluorescencia de rayos-x')",FRX,fluorescencia de rayos-x
"('IEF', 'inmunoelectroforesis')",IEF,inmunoelectroforesis
"('TARV', 'tratamiento antirretroviral')",TARV,tratamiento antirretroviral
"('ADE', 'ancho de distribución eritrocitaria')",ADE,ancho de distribución eritrocitaria
"('SARM', 's. aureus resistente a la meticilina')",SARM,s. aureus resistente a la meticilina
"('PDQ-4+', 'personality diagnostic questionnaire-4+')",PDQ-4+,personality diagnostic questionnaire-4+
"('CA', 'consumo de alcohol')",CA,consumo de alcohol
"('AMMOM', 'asociación mexicana de metabolismo oseo y mineral')",AMMOM,asociación mexicana de metabolismo oseo y mineral
